filename,gt,crnn_pred,tess_pred
00000,ជួយ សម្រយល ដល់ អ្នកសិក្សា,ជួយ សម្រយល ដល់ អ្នកសិក្សា,ជួយ សម្រយល ដល់ អ្នកសិក្សា
00001,ប្រដាក់ប្រដឺត,ប្រដាក់ប្រដឺត,ប្រអាក៏ប្រដីត
00002,យោក,យោក,ណាក
00003,លើសង្គមទាំងមូលដែល,លើសង្គមទាំងមូលដែល,(៣ិសប្គមវ៉ាពមូលខែល
00004,ឃ្លោក,ឃ្លោក,ឃ្លោក
00005,ឧម្មត្តកោ,ឧម្មត្តកោ,ខមត្តកោ
00006,នៃប្រព័ន្ធវិជ្ជាជីវៈ,នៃប្រព័ន្ធវិជ្ជាជីវៈ,)&ប្រស័ន្ទវិជ្ជាជីវិៈ
00007,មុខរបររកស៊ី មាន,មុខរបររកស៊ី មាន,ម្មុ១របររកស៊ី មាន
00008,គ្នា?ក្នុងសង្គម,គ្នា?ក្នុងសង្គម,គ្ហ?ក្នុវសង្គ
00009,មេដៃបង្កើតបានជារង្វង់,មេដៃបង្កើតបានជារង្វង់,:យ៊ៅនបន្អើតជា នម៉ារន្ធង៍
00010,ទី ២៖   ត្រូវ បួស ជា តាប ស ឬ សី ហើយ អនុវត្ត ឬ,ី ក្ ុ ប ា ឬ ីលីល ង៉បូខ,ន ៗ៖ ត្រ បួស ដា:តាបសឬសីហើយ អនុ
00011,។   គេ ចាត់ទុក សិលា,។   គេ ចាត់ទុក សិលា,។ គេចាត់ទុក សិលា
00012,+ទទួលការអប់រំគ្រប់ប្រភេទ,:ទទួលការអប់រំគ្រប់ប្រភេទ,+បទ្លលកា24%%ខំគ្របស្រ(តទ
00013,រ៉ែ សំណង់ មាន,វ៉ែ សំណង់ មាន,ន សំណ មន
00014,រដ្ឋបាល ឃុំ - សង្កាត់ មាន ភារកិច្ច,ដ្ដបាល បុំ-សង្កាត់ មាន ភាកិច្ច,រដ្ឋបាល ឃុំ - សង្កាត់ មាន ភារកិច្ច
00015,!!!!!!ហេតុអ្វី,  : ហេតុអ្វី,!!!!!!ហេកុអ្វី
00016,តំរុយមែកឈើក្រណាត់,តំរុយមែកឈើក្រណាត់,ចំរុយ(២ក(យិក្រយាត់
00017,ទ្រនាប់,ទ្រនាប់,ទ្រនាប់
00018,អនុវត្តការពារអំណាច។,អនុវត្តការពារអំណាច។,%ខុខត្តកា8៣3ំណាច7
00019,រាប់ ត្រឹមតែ ឆ្នាំ តាម កាល កំណត់ ដែល,ាប់ ត្របែ នាំ ា ា កណក់ ដែល,រាប់ ត្រឹមតែ ឆ្នាំ តាម កាល កំណត់ ដែល
00020,ម្ចាស់ ជា,ម្ចាស់ ជា,្ចាស់ជា
00021,ពេញ   ទំហឹង ដើម្បី បង្កើត សមាគម អាស៊ាន,ញ្ញ លង មីមបី ប ្ិ ស ាសា,ពេញ ទំហឹង ដើម្បី បង្កើត សមាគម អាស៊ាន
00022,ពោល ថា,ពោល ថា,យ/យាល ចា
00023,សញ្ជាត,សញ្ឆាត,សញ្ជាភ
00024,រុណ្ណ,រុណ្ណ,រុណ
00025,អាកាស ត្រង់ រង្វង់ មូល,អាកាស ត្រង រង្វង មូល,អាកាស ត្រន៏ រង្ងន៏ ខ្ទុល
00026,ទីណា?នៅថ្ងៃ,ទីណា?នៅថ្ងៃ,ទីណា ?នៅថផ្ជ
00027,យុវតី,យុវតី,យុវគី
00028,ស្រស,ស្រស,ស្រស់
00029,ខ្លះ ? លក្ខណៈ សម្បត្តិ របស់ អ្នកដឹកនាំ មាន ដូច ខាងក្រោម៖ មាន ទស្សនៈ វិស័យ ភ្លឺ ថ្លា, ក ្ុកគន្នំ់អ ន្ល្ះ សេស ើ,"52? លក្ខព័កា សម្បត្តិ របស់ អ្នកដឹកនាំ មាន ដូច ខាងក្រោម៖ មាន ទស្សនៈ វិស័យ ,"
00030,ក្នុង ការបើកបរ,ក្នុង ការបើកបរ,ភ្ជុឆ ការបើកបរ
00031,រអើល,រអើល,ស
00032,ប្រឡោះ,ប្រឡោះ,ប្រឡោះ
00033,ទំពុន,ទំពុន,ទំពុន
00034,បញ្ចូលការបង្រៀនវិជ្ជា,បញ្ចូលការបង្រៀនវិជ្ជា,បញ្ចូលកា2។(ហ្រ្រិនទំថ្ចា
00035,នេះ គេ នៅ ប្រើប្រាស់ ដែរ ទេ ? ពាក្យ   “,ន េ នៅ ប្ប្ា់ ដែទ? ពាក្យ,ះគេនៅប្រើប្រាស់ដែរទេ ? ពាក្យ
00036,”   ភ្លេង ជាតិ ”   ( បទ នគរ,   ភលេង ជភិ   (១ ឧគ,ម ភ្លែងជាតិ.( (បទ នគ
00037,ព្រះពុទ្ធអង្គបានពិចារណាថា,ព្រះពុទ្ធអង្គបានពិចារណាចា,ព្រះពុទ្ធអង្គបានពិចារណាថា
00038,ស្មារតីសាមគ្គី,ស្មារតីសាមគ្គី,ស្មារតិសាមគ្គិ
00039,ស្ទាប,ស្ទាប,ស្វាប
00040,និងមន្រ្តីរាជការ។,និងមន្រ្តីរាជការ។,និឆ័មន្រ្រីរាជការ។
00041,វិទ្ទេសិនី,វិទ្ទេសិនី,វិទ្ទេសិនី
00042,ឆកាមាវចរ​សួគ៌,ឆកាមាវចរសួគ៌,ធកាមាវចរសួគ៍
00043,។   ឧទាហរណ៏ៈ   អរិយធម៍ ឥណ្ឌា   អរិយធម៍ ខ្មែរ, អាហើ៍  លើច់ ញ្ បលង់ ម,ឧទាហរណ៏: =អរិយ៉ធម៍ ឥណ្ឌា អរិយធម៌ 8
00044,លែង,លែង,លៃង
00045,សមាជិកចំនួន១០០,សមាជិកចំនួន១០០,សមានិកចំន្ទន១០០
00046,នៃ បៀវត្ស ន៏ ),នៃ បៀវត្ស ន៏ ),នៃបៀវត្សន៏)
00047,នារី ខ្មែរ,នារី ខ្មែរ,នាធិ (ខ្វះ
00048,ខ្លះ អាច ទាក់ទាញ ភ្ញៀវ ទេសរចទៅ កំសាន្ត នៅ,ឲួទអាចទាកញ្យូទេលរទៅសាន្តដែ,ខ្លះ'អាច ទាក់ទាញ ភ្ញៀវ ទេសរចទៅ កំសាន្ត នៅ
00049,ថ្ងៃណាឆ្នាំណា?ក្ុង,ថ្ងៃណាឆ្នាំណា?ក រុង,វជ្ជណាឆ្នាំណា ?ក្បុង
