filename,gt,crnn_pred,tess_pred
00010,ទី ២៖   ត្រូវ បួស ជា តាប ស ឬ សី ហើយ អនុវត្ត ឬ,ី ក្ ុ ប ា ឬ ីលីល ង៉បូខ,ន ៗ៖ ត្រ បួស ដា:តាបសឬសីហើយ អនុ
00012,+ទទួលការអប់រំគ្រប់ប្រភេទ,:ទទួលការអប់រំគ្រប់ប្រភេទ,+បទ្លលកា24%%ខំគ្របស្រ(តទ
00013,រ៉ែ សំណង់ មាន,វ៉ែ សំណង់ មាន,ន សំណ មន
00014,រដ្ឋបាល ឃុំ - សង្កាត់ មាន ភារកិច្ច,ដ្ដបាល បុំ-សង្កាត់ មាន ភាកិច្ច,រដ្ឋបាល ឃុំ - សង្កាត់ មាន ភារកិច្ច
00015,!!!!!!ហេតុអ្វី,  : ហេតុអ្វី,!!!!!!ហេកុអ្វី
00019,រាប់ ត្រឹមតែ ឆ្នាំ តាម កាល កំណត់ ដែល,ាប់ ត្របែ នាំ ា ា កណក់ ដែល,រាប់ ត្រឹមតែ ឆ្នាំ តាម កាល កំណត់ ដែល
00021,ពេញ   ទំហឹង ដើម្បី បង្កើត សមាគម អាស៊ាន,ញ្ញ លង មីមបី ប ្ិ ស ាសា,ពេញ ទំហឹង ដើម្បី បង្កើត សមាគម អាស៊ាន
00023,សញ្ជាត,សញ្ឆាត,សញ្ជាភ
00025,អាកាស ត្រង់ រង្វង់ មូល,អាកាស ត្រង រង្វង មូល,អាកាស ត្រន៏ រង្ងន៏ ខ្ទុល
00029,ខ្លះ ? លក្ខណៈ សម្បត្តិ របស់ អ្នកដឹកនាំ មាន ដូច ខាងក្រោម៖ មាន ទស្សនៈ វិស័យ ភ្លឺ ថ្លា, ក ្ុកគន្នំ់អ ន្ល្ះ សេស ើ,"52? លក្ខព័កា សម្បត្តិ របស់ អ្នកដឹកនាំ មាន ដូច ខាងក្រោម៖ មាន ទស្សនៈ វិស័យ ,"
00035,នេះ គេ នៅ ប្រើប្រាស់ ដែរ ទេ ? ពាក្យ   “,ន េ នៅ ប្ប្ា់ ដែទ? ពាក្យ,ះគេនៅប្រើប្រាស់ដែរទេ ? ពាក្យ
